DATE,B230RC0A052NBEA
1/1/1929,121878
1/1/1930,123188
1/1/1931,124149
1/1/1932,124949
1/1/1933,125690
1/1/1934,126485
1/1/1935,127362
1/1/1936,128181
1/1/1937,128961
1/1/1938,129969
1/1/1939,131028
1/1/1940,132122
1/1/1941,133402
1/1/1942,134860
1/1/1943,136739
1/1/1944,138397
1/1/1945,139928
1/1/1946,141389
1/1/1947,144126
1/1/1948,146631
1/1/1949,149188
1/1/1950,151684
1/1/1951,154287
1/1/1952,156954
1/1/1953,159565
1/1/1954,162391
1/1/1955,165275
1/1/1956,168221
1/1/1957,171274
1/1/1958,174141
1/1/1959,177130
1/1/1960,180760
1/1/1961,183742
1/1/1962,186590
1/1/1963,189300
1/1/1964,191927
1/1/1965,194347
1/1/1966,196599
1/1/1967,198752
1/1/1968,200745
1/1/1969,202736
1/1/1970,205089
1/1/1971,207692
1/1/1972,209924
1/1/1973,211939
1/1/1974,213898
1/1/1975,215981
1/1/1976,218086
1/1/1977,220289
1/1/1978,222629
1/1/1979,225106
1/1/1980,227726
1/1/1981,230008
1/1/1982,232218
1/1/1983,234333
1/1/1984,236394
1/1/1985,238506
1/1/1986,240683
1/1/1987,242843
1/1/1988,245061
1/1/1989,247387
1/1/1990,250181
1/1/1991,253530
1/1/1992,256922
1/1/1993,260282
1/1/1994,263455
1/1/1995,266588
1/1/1996,269714
1/1/1997,272958
1/1/1998,276154
1/1/1999,279328
1/1/2000,282398
1/1/2001,285225
1/1/2002,287955
1/1/2003,290626
1/1/2004,293262
1/1/2005,295993
1/1/2006,298818
1/1/2007,301696
1/1/2008,304543
1/1/2009,307240
1/1/2010,309780
1/1/2011,312033
1/1/2012,314255
1/1/2013,316421
1/1/2014,318717
1/1/2015,321026
1/1/2016,323317
1/1/2017,325410
1/1/2018,327436
